TIMESTAMP        work2-RQ         work2-RD         work2-WR         
10.000000         0.000000          0.000000          0.000000         
20.000000         0.000000          0.000000          0.000000         
31.000000         0.000000          0.000000          0.000000         
41.000000         0.000000          0.000000          0.000000         
51.000000         0.000000          0.000000          0.000000         
61.000000         0.000000          0.000000          0.000000         
71.000000         0.000000          0.000000          0.000000         
82.000000         0.000000          0.000000          0.000000         
92.000000         0.000000          0.000000          0.000000         
102.000000        0.000000          0.000000          0.000000         
113.000000        0.000000          0.000000          0.000000         
123.000000        0.000000          0.000000          0.000000         
133.000000        0.000000          0.000000          0.000000         
146.000000        0.000000          0.000000          0.000000         
156.000000        0.000000          0.000000          0.000000         
167.000000        0.000000          0.000000          0.000000         
177.000000        0.000000          0.000000          0.000000         
188.000000        0.000000          0.000000          0.000000         
198.000000        0.000000          0.000000          0.000000         
208.000000        0.000000          0.000000          0.000000         
219.000000        0.000000          0.000000          0.000000         
229.000000        0.000000          0.000000          0.000000         
240.000000        0.000000          0.000000          0.000000         
250.000000        0.000000          0.000000          0.000000         
260.000000        0.000000          0.000000          0.000000         
270.000000        0.000000          0.000000          0.000000         
281.000000        0.000000          0.000000          0.000000         
291.000000        0.000000          0.000000          0.000000         
302.000000        0.000000          0.000000          0.000000         
312.000000        0.000000          0.000000          0.000000         
322.000000        0.000000          0.000000          0.000000         
333.000000        0.000000          0.000000          0.000000         
343.000000        0.000000          0.000000          0.000000         
353.000000        0.000000          0.000000          0.000000         
364.000000        0.000000          0.000000          0.000000         
374.000000        0.000000          0.000000          0.000000         
384.000000        0.000000          0.000000          0.000000         
395.000000        0.000000          0.000000          0.000000         
405.000000        0.000000          0.000000          0.000000         
415.000000        0.000000          0.000000          0.000000         
426.000000        0.000000          0.000000          0.000000         
436.000000        0.000000          0.000000          0.000000         
446.000000        0.000000          0.000000          0.000000         
457.000000        0.000000          0.000000          0.000000         
467.000000        0.000000          0.000000          0.000000         
477.000000        0.000000          0.000000          0.000000         
487.000000        0.000000          0.000000          0.000000         
498.000000        0.000000          0.000000          0.000000         
508.000000        0.000000          0.000000          0.000000         
518.000000        0.000000          0.000000          0.000000         
529.000000        0.000000          0.000000          0.000000         
539.000000        0.000000          0.000000          0.000000         
549.000000        0.000000          0.000000          0.000000         
559.000000        0.000000          0.000000          0.000000         
570.000000        0.000000          0.000000          0.000000         
580.000000        0.000000          0.000000          0.000000         
590.000000        0.000000          0.000000          0.000000         
601.000000        0.000000          0.000000          0.000000         
611.000000        0.000000          0.000000          0.000000         
621.000000        0.000000          0.000000          0.000000         
632.000000        0.000000          0.000000          0.000000         
